0.000 300	1.000 1.560 2.206
0.050 325	1.000 1.505 2.102
0.100 351	1.000 1.558 2.182
0.150 402	1.000 1.533 2.307
0.200 451	1.000 1.571 2.183
0.250 501	1.000 1.603 2.309
0.300 551	1.000 1.570 2.219
0.350 602	1.000 1.543 2.124
0.400 651	1.000 1.580 2.280
0.450 705	1.000 1.576 2.188
0.500 856	1.001 1.561 2.196
0.550 1010	1.004 1.579 2.234
0.600 1716	1.073 1.630 2.312
0.650 6806	1.232 1.844 2.434
0.700 35895	2.708 3.892 5.194
0.750 46309	3.193 4.693 6.919
0.800 68922	3.651 6.095 13.473
0.850 125345	4.282 11.222 25.431
0.900 341071	4.927 28.547 44.164
0.950 9998299	3.728 20.386 38.733
