0.000 300	10.422 182.315 261.708
0.050 325	9.787 171.817 258.226
0.100 351	10.180 181.984 265.421
0.150 402	11.039 176.648 265.237
0.200 451	11.987 176.273 258.001
0.250 501	10.173 176.991 270.561
0.300 550	9.708 174.634 261.349
0.350 602	10.509 172.234 251.842
0.400 651	10.387 178.379 271.827
0.450 704	11.405 180.477 265.533
0.500 855	10.139 173.332 263.326
0.550 1006	11.263 172.369 238.575
0.600 1713	10.970 175.972 253.378
0.650 6752	10.367 172.856 247.882
0.700 35802	9.794 148.273 229.941
0.750 46258	7.500 139.570 198.024
0.800 68752	8.674 125.073 179.350
0.850 124516	6.536 108.084 149.099
0.900 336087	5.876 71.945 109.190
0.950 9998299	4.142 27.963 46.179
