0.000 300	1.708 1.725 32.759
0.050 325	1.555 1.777 13.521
0.100 351	1.729 1.850 30.477
0.150 402	1.788 1.824 32.338
0.200 451	1.807 1.856 35.062
0.250 501	1.748 1.934 33.154
0.300 551	1.722 1.901 27.261
0.350 602	1.604 1.730 19.842
0.400 651	1.740 1.818 29.405
0.450 705	1.775 1.914 33.470
0.500 856	1.673 1.826 28.781
0.550 1010	1.815 1.870 33.015
0.600 1716	1.807 1.900 33.583
0.650 6806	1.617 1.870 25.112
0.700 35895	1.736 2.094 21.391
0.750 46309	1.753 2.310 17.432
0.800 68922	1.862 2.412 25.786
0.850 125345	1.808 2.623 15.446
0.900 341071	2.072 3.428 15.872
0.950 9998299	3.084 6.338 24.642
