0.000 299	13.595 156.222 231.928
0.050 325	9.323 154.423 215.393
0.100 351	12.306 154.866 231.674
0.150 403	11.235 160.972 223.741
0.200 453	13.085 159.218 236.783
0.250 503	13.773 158.547 235.080
0.300 552	11.277 164.394 233.728
0.350 604	13.146 154.048 222.681
0.400 655	12.161 167.896 252.990
0.450 717	16.085 163.993 243.626
0.500 866	13.502 158.103 233.801
0.550 1066	13.052 164.995 236.306
0.600 1779	14.084 160.425 224.926
0.650 11877	12.480 154.964 223.184
0.700 37126	13.138 135.334 210.409
0.750 47581	8.516 123.180 168.338
0.800 73136	8.238 109.286 162.138
0.850 158295	7.206 93.166 133.900
0.900 500000	9.309 54.959 79.004
0.950 9943249	6.175 51.578 64.927
