0.000 300	1.000 89.064 155.578
0.050 325	1.000 79.151 147.572
0.100 351	1.000 86.132 149.179
0.150 402	1.000 87.052 155.426
0.200 451	1.000 88.801 158.407
0.250 501	1.000 89.110 171.616
0.300 551	1.000 82.280 166.098
0.350 602	1.001 85.695 155.326
0.400 651	1.002 91.107 160.646
0.450 705	1.003 92.864 163.913
0.500 856	1.004 77.882 153.441
0.550 1010	1.006 84.753 158.851
0.600 1716	1.077 90.244 165.486
0.650 6806	1.259 93.057 158.131
0.700 35895	2.705 71.998 123.865
0.750 46309	3.197 72.304 121.718
0.800 68922	3.629 66.258 109.103
0.850 125345	4.314 56.103 95.734
0.900 341071	5.007 43.848 66.936
0.950 9998299	3.987 24.493 40.119
