0.000 300	1.000 77.307 147.914
0.050 325	1.000 70.942 141.085
0.100 351	1.000 80.001 142.372
0.150 402	1.000 82.674 149.861
0.200 451	1.000 81.371 147.845
0.250 501	1.000 82.374 159.802
0.300 551	1.000 76.102 153.938
0.350 602	1.000 81.716 138.068
0.400 651	1.000 85.828 150.698
0.450 705	1.000 86.084 160.130
0.500 856	1.000 69.142 145.210
0.550 1010	1.000 83.221 149.890
0.600 1716	1.062 83.687 154.252
0.650 6806	1.197 86.084 147.989
0.700 35895	2.662 67.498 116.438
0.750 46309	3.146 70.965 114.481
0.800 68922	3.719 61.421 101.590
0.850 125345	4.859 52.425 86.986
0.900 341071	7.898 48.621 68.303
0.950 9998299	18.768 65.391 80.329
