0.000 300	1.000 74.207 146.777
0.050 325	1.000 68.754 143.701
0.100 351	1.000 75.033 143.116
0.150 402	1.000 77.563 149.396
0.200 451	1.000 75.133 152.755
0.250 501	1.000 79.806 161.400
0.300 551	1.000 74.659 149.438
0.350 602	1.000 77.193 137.986
0.400 651	1.000 84.572 152.362
0.450 705	1.000 83.458 164.902
0.500 856	1.000 68.295 142.477
0.550 1010	1.000 81.842 148.950
0.600 1716	1.059 82.772 153.368
0.650 6806	1.189 82.080 151.647
0.700 35895	2.791 68.327 115.878
0.750 46309	4.786 67.128 112.433
0.800 68922	10.568 60.034 101.322
0.850 125345	23.322 56.784 88.719
0.900 341071	49.368 66.760 96.318
0.950 9998299	83.834 98.542 98.921
