0.000 300	1.000 96.163 173.316
0.050 325	1.000 88.119 165.012
0.100 351	1.000 94.716 171.412
0.150 402	1.000 94.283 173.775
0.200 451	1.001 100.510 171.307
0.250 501	1.001 95.523 178.606
0.300 551	1.002 93.089 177.133
0.350 602	1.002 93.795 161.905
0.400 651	1.003 100.024 171.856
0.450 705	1.003 98.461 186.010
0.500 856	1.006 88.290 166.332
0.550 1010	1.008 93.891 171.136
0.600 1716	1.081 98.300 177.508
0.650 6806	1.276 95.050 176.340
0.700 35895	2.771 81.229 139.099
0.750 46309	3.355 76.973 132.374
0.800 68922	4.360 68.696 124.068
0.850 125345	8.347 60.971 107.885
0.900 341071	9.722 47.275 76.725
0.950 9998299	5.519 22.136 40.507
初始发送速率为10Gbps
#前8个时间段探索最小RTT，设计目标RTT = MIN_RTT*0.9
#之后根据最小RTT，设计合适的（接近空队列的）目标RTT = min_rtt*1.25
