0.000 300	1.000 1.521 2.072
0.050 325	1.000 1.519 2.009
0.100 351	1.000 1.500 1.975
0.150 402	1.000 1.489 2.076
0.200 451	1.000 1.525 2.043
0.250 501	1.000 1.556 2.270
0.300 551	1.000 1.514 2.059
0.350 602	1.000 1.496 1.994
0.400 651	1.000 1.529 2.036
0.450 705	1.000 1.534 2.089
0.500 856	1.002 1.527 2.080
0.550 1010	1.003 1.661 2.136
0.600 1716	1.679 2.926 3.315
0.650 6806	2.991 5.834 9.956
0.700 35895	13.596 17.903 24.098
0.750 46309	15.073 20.979 28.661
0.800 68922	15.380 23.843 31.727
0.850 125345	14.866 28.304 37.918
0.900 341071	12.216 32.956 47.669
0.950 9998299	5.469 19.569 41.112
