0.000 300	1.000 1.531 2.012
0.050 325	1.000 1.465 2.047
0.100 351	1.000 1.502 1.934
0.150 402	1.000 1.494 2.004
0.200 451	1.000 1.522 2.101
0.250 501	1.000 1.520 2.264
0.300 551	1.000 1.497 2.041
0.350 602	1.000 1.479 1.972
0.400 651	1.000 1.520 2.085
0.450 705	1.000 1.476 2.150
0.500 856	1.002 1.511 2.082
0.550 1010	1.003 1.669 2.197
0.600 1716	1.680 2.926 3.124
0.650 6806	2.991 5.823 9.895
0.700 35895	16.405 21.037 26.014
0.750 46309	17.805 22.736 30.094
0.800 68922	18.279 25.384 33.835
0.850 125345	17.536 29.515 38.410
0.900 341071	14.264 34.432 48.096
0.950 9998299	6.053 19.952 41.067

初始发送速率为1Gbps
#前8个时间段探索最小RTT，设计目标RTT = MIN_RTT*0.9
#之后根据最小RTT，设计合适的（接近空队列的）目标RTT = min_rtt*1.25
？？？？？？？？？？？？？？？？？？？？？？
