0.000 300	1.000 1.774 3.296
0.050 325	1.000 1.653 2.982
0.100 351	1.000 1.730 3.255
0.150 402	1.000 1.733 3.182
0.200 451	1.000 1.760 3.313
0.250 501	1.000 1.749 3.503
0.300 551	1.000 1.757 3.183
0.350 602	1.000 1.718 3.257
0.400 651	1.000 1.786 3.331
0.450 705	1.000 1.774 3.479
0.500 856	1.001 1.640 3.232
0.550 1010	1.004 1.826 3.186
0.600 1716	1.680 2.946 4.311
0.650 6806	2.994 5.893 9.827
0.700 35895	12.040 15.831 20.609
0.750 46309	13.152 18.017 23.921
0.800 68922	13.191 20.115 26.785
0.850 125345	12.563 22.878 32.202
0.900 341071	10.011 26.282 43.997
0.950 9998299	4.834 17.125 43.614
##修改参数P = -2;I = -0.6;D = -1.2
0.2<C<3
