0.000 300	1.000 1.387 1.823
0.050 325	1.000 1.366 1.802
0.100 351	1.000 1.375 1.807
0.150 402	1.000 1.379 1.867
0.200 451	1.000 1.411 1.860
0.250 501	1.000 1.390 1.892
0.300 551	1.000 1.409 1.896
0.350 602	1.000 1.371 1.792
0.400 651	1.000 1.394 1.853
0.450 705	1.001 1.429 1.899
0.500 856	1.001 1.364 1.810
0.550 1010	1.004 1.543 1.998
0.600 1716	1.688 2.923 3.167
0.650 6806	2.994 5.836 8.724
0.700 35895	12.211 16.338 20.929
0.750 46309	13.434 19.468 23.990
0.800 68922	13.477 22.358 27.879
0.850 125345	12.791 27.008 35.103
0.900 341071	10.213 33.380 48.851
0.950 9998299	4.850 20.800 46.480
