0.000 300	1.000 1.248 2.908
0.050 325	1.000 1.254 2.803
0.100 351	1.000 1.254 2.614
0.150 402	1.000 1.253 2.662
0.200 451	1.000 1.270 2.636
0.250 501	1.000 1.325 3.273
0.300 551	1.000 1.274 2.789
0.350 602	1.000 1.242 2.697
0.400 651	1.000 1.297 2.784
0.450 705	1.000 1.327 2.865
0.500 856	1.001 1.210 2.759
0.550 1010	1.003 1.617 2.820
0.600 1716	1.678 2.934 3.626
0.650 6806	2.992 5.836 10.070
0.700 35895	12.858 17.064 20.390
0.750 46309	14.086 18.244 23.754
0.800 68922	14.772 20.417 25.197
0.850 125345	14.962 23.842 31.776
0.900 341071	13.356 30.636 44.107
0.950 9998299	6.497 20.644 42.703
