node:116 rate:1.000 new_rtt13.419 c:1.280 rttpred:10676.283 rtttarget:12077.100 rttmin13419.000 e:-1.401 eold:0.000 eavg:0.000 tim:1
node:116 rate:1.280 new_rtt12.600 c:0.823 rttpred:11523.392 rtttarget:11340.000 rttmin12600.000 e:0.183 eold:-1.401 eavg:0.000 tim:2
node:116 rate:1.054 new_rtt12.264 c:0.896 rttpred:11677.067 rtttarget:11037.600 rttmin12264.000 e:0.639 eold:0.183 eavg:-0.578 tim:3
node:116 rate:1.000 new_rtt12.270 c:1.294 rttpred:12129.808 rtttarget:13264.000 rttmin12264.000 e:-1.134 eold:0.639 eavg:-0.311 tim:4
node:116 rate:1.294 new_rtt12.418 c:1.045 rttpred:12534.605 rtttarget:13264.000 rttmin12264.000 e:-0.729 eold:-1.134 eavg:-1.224 tim:5
node:116 rate:1.352 new_rtt13.211 c:0.728 rttpred:14301.792 rtttarget:13264.000 rttmin12264.000 e:1.038 eold:-0.729 eavg:-0.826 tim:6
node:116 rate:1.000 new_rtt14.684 c:0.339 rttpred:16890.007 rtttarget:13264.000 rttmin12264.000 e:3.626 eold:1.038 eavg:3.934 tim:7
node:116 rate:1.000 new_rtt12.526 c:2.148 rttpred:9301.880 rtttarget:13264.000 rttmin12264.000 e:-3.962 eold:3.626 eavg:0.702 tim:8
node:116 rate:2.148 new_rtt12.300 c:0.878 rttpred:11973.577 rtttarget:13264.000 rttmin12264.000 e:-1.290 eold:-3.962 eavg:-1.627 tim:9
node:116 rate:1.886 new_rtt15.620 c:-0.630 rttpred:20662.681 rtttarget:13264.000 rttmin12264.000 e:7.399 eold:-1.290 eavg:2.146 tim:10
node:116 rate:1.000 new_rtt15.538 c:1.609 rttpred:13594.239 rtttarget:13264.000 rttmin12264.000 e:0.330 eold:7.399 eavg:6.438 tim:11
node:116 rate:1.609 new_rtt12.445 c:1.720 rttpred:9625.944 rtttarget:13264.000 rttmin12264.000 e:-3.638 eold:0.330 eavg:4.091 tim:12
node:116 rate:2.768 new_rtt16.215 c:-0.838 rttpred:20440.888 rtttarget:13264.000 rttmin12264.000 e:7.177 eold:-3.638 eavg:3.869 tim:13
node:116 rate:1.000 new_rtt12.307 c:0.791 rttpred:12123.584 rtttarget:11076.300 rttmin12307.000 e:1.047 eold:0.000 eavg:0.000 tim:1
node:116 rate:1.000 new_rtt23.255 c:-2.023 rttpred:30907.608 rtttarget:13264.000 rttmin12264.000 e:17.644 eold:7.177 eavg:21.182 tim:14
node:116 rate:1.000 new_rtt12.264 c:0.896 rttpred:12082.773 rtttarget:11037.600 rttmin12264.000 e:1.045 eold:1.047 eavg:0.000 tim:2
node:116 rate:1.000 new_rtt15.501 c:3.636 rttpred:7930.357 rtttarget:13264.000 rttmin12264.000 e:-5.334 eold:17.644 eavg:19.487 tim:15
node:116 rate:1.000 new_rtt12.316 c:0.825 rttpred:12268.832 rtttarget:11037.600 rttmin12264.000 e:1.231 eold:1.045 eavg:3.324 tim:3
node:116 rate:3.000 new_rtt12.600 c:0.622 rttpred:11935.720 rtttarget:13264.000 rttmin12264.000 e:-1.328 eold:-5.334 eavg:10.982 tim:16
node:116 rate:1.000 new_rtt12.349 c:1.310 rttpred:12263.796 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:1.231 eavg:1.276 tim:4
node:116 rate:1.000 new_rtt8.187 c:0.867 rttpred:8033.807 rtttarget:7368.300 rttmin8187.000 e:0.666 eold:0.000 eavg:0.000 tim:1
