node:262 rate:1.000 new_rtt12.150 c:0.813 rttpred:11868.626 rtttarget:10935.000 rttmin12150.000 e:0.934 eold:0.000 eavg:0.000 tim:1
node:262 rate:1.000 new_rtt12.264 c:0.781 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.094 eold:0.000 eavg:0.000 tim:1
node:262 rate:1.000 new_rtt12.272 c:0.887 rttpred:12149.700 rtttarget:11037.600 rttmin12264.000 e:1.112 eold:1.094 eavg:0.000 tim:2
node:262 rate:1.000 new_rtt12.264 c:0.862 rttpred:12118.815 rtttarget:11037.600 rttmin12264.000 e:1.081 eold:1.112 eavg:3.287 tim:3
node:262 rate:1.000 new_rtt12.311 c:1.301 rttpred:12239.997 rtttarget:13264.000 rttmin12264.000 e:-1.024 eold:1.081 eavg:1.169 tim:4
node:262 rate:1.000 new_rtt12.282 c:0.773 rttpred:12172.836 rtttarget:11037.600 rttmin12264.000 e:1.135 eold:0.000 eavg:0.000 tim:1
node:262 rate:1.301 new_rtt12.264 c:1.150 rttpred:12058.567 rtttarget:13264.000 rttmin12264.000 e:-1.205 eold:-1.024 eavg:-1.148 tim:5
node:262 rate:1.497 new_rtt12.264 c:1.140 rttpred:12131.708 rtttarget:13264.000 rttmin12264.000 e:-1.132 eold:-1.205 eavg:-3.362 tim:6
node:262 rate:1.000 new_rtt12.264 c:0.900 rttpred:12103.309 rtttarget:11037.600 rttmin12264.000 e:1.066 eold:1.135 eavg:0.000 tim:2
node:262 rate:1.705 new_rtt12.264 c:1.148 rttpred:12133.480 rtttarget:13264.000 rttmin12264.000 e:-1.131 eold:-1.132 eavg:-3.468 tim:7
node:262 rate:1.000 new_rtt12.264 c:0.855 rttpred:12131.290 rtttarget:11037.600 rttmin12264.000 e:1.094 eold:1.066 eavg:3.295 tim:3
node:262 rate:1.957 new_rtt12.264 c:1.147 rttpred:12133.027 rtttarget:13264.000 rttmin12264.000 e:-1.131 eold:-1.131 eavg:-3.394 tim:8
node:262 rate:1.000 new_rtt12.264 c:1.325 rttpred:12131.992 rtttarget:13264.000 rttmin12264.000 e:-1.132 eold:1.094 eavg:1.027 tim:4
node:262 rate:2.245 new_rtt12.264 c:1.147 rttpred:12132.663 rtttarget:13264.000 rttmin12264.000 e:-1.131 eold:-1.131 eavg:-3.393 tim:9
node:262 rate:1.325 new_rtt12.264 c:1.125 rttpred:12131.834 rtttarget:13264.000 rttmin12264.000 e:-1.132 eold:-1.132 eavg:-1.170 tim:5
node:262 rate:1.000 new_rtt8.172 c:0.867 rttpred:8020.282 rtttarget:7354.800 rttmin8172.000 e:0.665 eold:0.000 eavg:0.000 tim:1
node:262 rate:2.575 new_rtt12.264 c:1.147 rttpred:12132.372 rtttarget:13264.000 rttmin12264.000 e:-1.132 eold:-1.131 eavg:-3.394 tim:10
node:262 rate:1.491 new_rtt12.276 c:1.141 rttpred:12159.463 rtttarget:13264.000 rttmin12264.000 e:-1.105 eold:-1.132 eavg:-3.369 tim:6
node:262 rate:2.954 new_rtt12.290 c:1.135 rttpred:12192.307 rtttarget:13264.000 rttmin12264.000 e:-1.072 eold:-1.132 eavg:-3.335 tim:11
node:262 rate:1.702 new_rtt12.321 c:1.126 rttpred:12244.952 rtttarget:13264.000 rttmin12264.000 e:-1.019 eold:-1.105 eavg:-3.256 tim:7
node:262 rate:3.351 new_rtt12.264 c:1.161 rttpred:12091.652 rtttarget:13264.000 rttmin12264.000 e:-1.172 eold:-1.072 eavg:-3.376 tim:12
node:262 rate:1.916 new_rtt12.264 c:1.176 rttpred:12043.138 rtttarget:13264.000 rttmin12264.000 e:-1.221 eold:-1.019 eavg:-3.344 tim:8
node:262 rate:3.891 new_rtt12.264 c:1.143 rttpred:12131.925 rtttarget:13264.000 rttmin12264.000 e:-1.132 eold:-1.172 eavg:-3.376 tim:13
node:262 rate:2.253 new_rtt12.277 c:1.132 rttpred:12162.213 rtttarget:13264.000 rttmin12264.000 e:-1.102 eold:-1.221 eavg:-3.342 tim:9
node:262 rate:4.447 new_rtt12.264 c:1.147 rttpred:12132.819 rtttarget:13264.000 rttmin12264.000 e:-1.131 eold:-1.132 eavg:-3.436 tim:14
node:262 rate:2.550 new_rtt12.270 c:1.152 rttpred:12128.082 rtttarget:13264.000 rttmin12264.000 e:-1.136 eold:-1.102 eavg:-3.459 tim:10
node:262 rate:2.936 new_rtt12.264 c:1.148 rttpred:12124.489 rtttarget:13264.000 rttmin12264.000 e:-1.140 eold:-1.136 eavg:-3.377 tim:11
node:262 rate:1.000 new_rtt12.270 c:0.805 rttpred:12018.700 rtttarget:11043.000 rttmin12270.000 e:0.976 eold:0.000 eavg:0.000 tim:1
node:262 rate:1.000 new_rtt12.264 c:0.877 rttpred:12142.057 rtttarget:11037.600 rttmin12264.000 e:1.104 eold:0.976 eavg:0.000 tim:2
node:262 rate:1.000 new_rtt12.301 c:0.838 rttpred:12237.194 rtttarget:11037.600 rttmin12264.000 e:1.200 eold:1.104 eavg:3.280 tim:3
node:262 rate:1.000 new_rtt12.264 c:1.343 rttpred:12090.674 rtttarget:13264.000 rttmin12264.000 e:-1.173 eold:1.200 eavg:1.131 tim:4
node:262 rate:1.343 new_rtt12.378 c:1.062 rttpred:12409.277 rtttarget:13264.000 rttmin12264.000 e:-0.855 eold:-1.173 eavg:-0.828 tim:5
node:262 rate:1.426 new_rtt12.325 c:1.178 rttpred:12107.369 rtttarget:13264.000 rttmin12264.000 e:-1.157 eold:-0.855 eavg:-3.185 tim:6
node:262 rate:1.680 new_rtt12.274 c:1.155 rttpred:12071.283 rtttarget:13264.000 rttmin12264.000 e:-1.193 eold:-1.157 eavg:-3.204 tim:7
node:262 rate:1.940 new_rtt12.279 c:1.135 rttpred:12163.333 rtttarget:13264.000 rttmin12264.000 e:-1.101 eold:-1.193 eavg:-3.450 tim:8
node:262 rate:2.203 new_rtt12.299 c:1.136 rttpred:12202.015 rtttarget:13264.000 rttmin12264.000 e:-1.062 eold:-1.101 eavg:-3.355 tim:9
node:262 rate:2.502 new_rtt12.267 c:1.161 rttpred:12094.917 rtttarget:13264.000 rttmin12264.000 e:-1.169 eold:-1.062 eavg:-3.332 tim:10
node:262 rate:2.905 new_rtt12.277 c:1.136 rttpred:12165.951 rtttarget:13264.000 rttmin12264.000 e:-1.098 eold:-1.169 eavg:-3.329 tim:11
node:262 rate:1.000 new_rtt12.282 c:0.774 rttpred:12170.186 rtttarget:11039.400 rttmin12266.000 e:1.131 eold:0.000 eavg:0.000 tim:1
node:262 rate:3.300 new_rtt12.276 c:1.147 rttpred:12147.829 rtttarget:13264.000 rttmin12264.000 e:-1.116 eold:-1.098 eavg:-3.383 tim:12
node:262 rate:3.786 new_rtt12.264 c:1.151 rttpred:12120.010 rtttarget:13264.000 rttmin12264.000 e:-1.144 eold:-1.116 eavg:-3.358 tim:13
node:262 rate:1.000 new_rtt12.283 c:0.891 rttpred:12147.674 rtttarget:11039.400 rttmin12266.000 e:1.108 eold:1.131 eavg:0.000 tim:2
node:262 rate:4.357 new_rtt12.283 c:1.136 rttpred:12181.609 rtttarget:13264.000 rttmin12264.000 e:-1.082 eold:-1.144 eavg:-3.343 tim:14
node:262 rate:1.000 new_rtt12.291 c:0.852 rttpred:12164.695 rtttarget:11039.400 rttmin12266.000 e:1.125 eold:1.108 eavg:3.364 tim:3
node:262 rate:4.947 new_rtt12.328 c:1.126 rttpred:12255.786 rtttarget:13264.000 rttmin12264.000 e:-1.008 eold:-1.082 eavg:-3.235 tim:15
node:262 rate:1.000 new_rtt12.274 c:1.332 rttpred:12113.757 rtttarget:13266.000 rttmin12266.000 e:-1.152 eold:1.125 eavg:1.081 tim:4
node:262 rate:5.569 new_rtt12.264 c:1.178 rttpred:12036.740 rtttarget:13264.000 rttmin12264.000 e:-1.227 eold:-1.008 eavg:-3.318 tim:16
node:262 rate:1.332 new_rtt12.291 c:1.113 rttpred:12180.002 rtttarget:13266.000 rttmin12266.000 e:-1.086 eold:-1.152 eavg:-1.113 tim:5
node:262 rate:6.559 new_rtt12.289 c:1.124 rttpred:12193.553 rtttarget:13264.000 rttmin12264.000 e:-1.070 eold:-1.227 eavg:-3.306 tim:17
node:262 rate:1.483 new_rtt12.268 c:1.158 rttpred:12101.290 rtttarget:13266.000 rttmin12266.000 e:-1.165 eold:-1.086 eavg:-3.403 tim:6
node:262 rate:1.718 new_rtt12.302 c:1.127 rttpred:12215.486 rtttarget:13266.000 rttmin12266.000 e:-1.051 eold:-1.165 eavg:-3.301 tim:7
node:262 rate:1.935 new_rtt12.275 c:1.162 rttpred:12100.934 rtttarget:13266.000 rttmin12266.000 e:-1.165 eold:-1.051 eavg:-3.380 tim:8
node:262 rate:1.000 new_rtt12.368 c:0.768 rttpred:12267.185 rtttarget:11108.700 rttmin12343.000 e:1.158 eold:0.000 eavg:0.000 tim:1
node:262 rate:2.248 new_rtt12.294 c:1.132 rttpred:12186.402 rtttarget:13266.000 rttmin12266.000 e:-1.080 eold:-1.165 eavg:-3.295 tim:9
node:262 rate:1.000 new_rtt12.391 c:0.881 rttpred:12281.555 rtttarget:11108.700 rttmin12343.000 e:1.173 eold:1.158 eavg:0.000 tim:2
node:262 rate:2.546 new_rtt12.264 c:1.161 rttpred:12088.691 rtttarget:13264.000 rttmin12264.000 e:-1.175 eold:-1.080 eavg:-3.420 tim:10
node:262 rate:1.000 new_rtt12.420 c:0.841 rttpred:12312.809 rtttarget:11108.700 rttmin12343.000 e:1.204 eold:1.173 eavg:3.535 tim:3
node:262 rate:2.957 new_rtt12.299 c:1.125 rttpred:12215.778 rtttarget:13264.000 rttmin12264.000 e:-1.048 eold:-1.175 eavg:-3.303 tim:11
node:262 rate:3.326 new_rtt12.301 c:1.148 rttpred:12166.694 rtttarget:13264.000 rttmin12264.000 e:-1.097 eold:-1.048 eavg:-3.321 tim:12
node:262 rate:1.000 new_rtt12.357 c:1.353 rttpred:12123.760 rtttarget:13343.000 rttmin12343.000 e:-1.219 eold:1.204 eavg:1.158 tim:4
node:262 rate:3.818 new_rtt12.331 c:1.128 rttpred:12232.268 rtttarget:13264.000 rttmin12264.000 e:-1.032 eold:-1.097 eavg:-3.177 tim:13
node:262 rate:1.353 new_rtt12.308 c:1.130 rttpred:12110.775 rtttarget:13308.000 rttmin12308.000 e:-1.197 eold:-1.219 eavg:-1.212 tim:5
node:262 rate:4.309 new_rtt12.290 c:1.164 rttpred:12091.860 rtttarget:13264.000 rttmin12264.000 e:-1.172 eold:-1.032 eavg:-3.301 tim:14
node:262 rate:1.528 new_rtt12.370 c:1.110 rttpred:12331.463 rtttarget:13308.000 rttmin12308.000 e:-0.977 eold:-1.197 eavg:-3.393 tim:6
