0.000 300	1.000 1.106 1.299
0.050 325	1.000 1.112 1.311
0.100 351	1.000 1.109 1.283
0.150 402	1.000 1.120 1.316
0.200 451	1.000 1.119 1.336
0.250 501	1.000 1.117 1.428
0.300 551	1.000 1.105 1.287
0.350 602	1.000 1.118 1.284
0.400 651	1.000 1.110 1.313
0.450 705	1.000 1.114 1.334
0.500 856	1.000 1.124 1.326
0.550 1010	1.003 1.155 1.702
0.600 1716	1.678 2.923 3.032
0.650 6806	2.989 5.830 9.996
0.700 35895	13.784 18.360 22.985
0.750 46309	15.666 21.805 26.617
0.800 68922	17.383 23.519 30.293
0.850 125345	18.648 28.400 35.913
0.900 341071	17.913 35.576 49.607
0.950 9998299	9.152 22.629 44.313
