node:102 rate:1.000 new_rtt12.244 c:0.755 rttpred:12058.633 rtttarget:11019.600 rttmin12244.000 e:1.224 eold:0.000 eavg:0.000 tim:1
node:102 rate:1.000 new_rtt12.264 c:0.755 rttpred:10097.218 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:0.000 eavg:0.000 tim:1
node:102 rate:1.000 new_rtt15.540 c:0.222 rttpred:19992.895 rtttarget:11037.600 rttmin12264.000 e:4.502 eold:1.226 eavg:0.000 tim:2
node:102 rate:1.000 new_rtt15.456 c:0.668 rttpred:14142.850 rtttarget:11037.600 rttmin12264.000 e:4.418 eold:4.502 eavg:10.147 tim:3
node:102 rate:1.000 new_rtt15.540 c:1.099 rttpred:14647.840 rtttarget:13264.000 rttmin12264.000 e:2.276 eold:4.418 eavg:11.197 tim:4
node:102 rate:1.099 new_rtt15.370 c:0.894 rttpred:14410.360 rtttarget:13264.000 rttmin12264.000 e:2.106 eold:2.276 eavg:8.800 tim:5
node:102 rate:1.000 new_rtt12.882 c:1.327 rttpred:10055.548 rtttarget:13264.000 rttmin12264.000 e:-0.382 eold:2.106 eavg:4.000 tim:6
node:102 rate:1.000 new_rtt12.320 c:0.746 rttpred:12244.929 rtttarget:11048.400 rttmin12276.000 e:1.272 eold:0.000 eavg:0.000 tim:1
node:102 rate:1.327 new_rtt12.824 c:1.063 rttpred:12632.133 rtttarget:13264.000 rttmin12264.000 e:-0.440 eold:-0.382 eavg:1.284 tim:7
node:102 rate:1.000 new_rtt12.086 c:0.885 rttpred:11639.354 rtttarget:10877.400 rttmin12086.000 e:1.209 eold:1.272 eavg:0.000 tim:2
node:102 rate:1.410 new_rtt12.943 c:1.009 rttpred:13062.373 rtttarget:13264.000 rttmin12264.000 e:-0.321 eold:-0.440 eavg:-1.143 tim:8
node:102 rate:1.000 new_rtt12.264 c:0.755 rttpred:12050.798 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:0.000 eavg:0.000 tim:1
node:102 rate:1.422 new_rtt12.857 c:1.038 rttpred:12724.720 rtttarget:13264.000 rttmin12264.000 e:-0.407 eold:-0.321 eavg:-1.168 tim:9
node:102 rate:1.000 new_rtt12.264 c:0.877 rttpred:12144.242 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:0.000 tim:2
node:102 rate:1.476 new_rtt13.883 c:0.834 rttpred:15326.566 rtttarget:13264.000 rttmin12264.000 e:0.619 eold:-0.407 eavg:-0.109 tim:10
node:102 rate:1.000 new_rtt12.327 c:0.902 rttpred:12290.566 rtttarget:11037.600 rttmin12264.000 e:1.289 eold:1.226 eavg:3.742 tim:3
node:102 rate:1.232 new_rtt13.550 c:1.010 rttpred:12914.273 rtttarget:13264.000 rttmin12264.000 e:0.286 eold:0.619 eavg:0.498 tim:11
node:102 rate:1.000 new_rtt12.344 c:1.329 rttpred:12229.454 rtttarget:13264.000 rttmin12264.000 e:-0.920 eold:1.289 eavg:1.596 tim:4
node:102 rate:1.244 new_rtt12.328 c:1.215 rttpred:10747.951 rtttarget:13264.000 rttmin12264.000 e:-0.936 eold:0.286 eavg:-0.031 tim:12
node:102 rate:1.329 new_rtt12.264 c:1.102 rttpred:12016.767 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-0.920 eavg:-0.631 tim:5
node:102 rate:1.511 new_rtt12.339 c:1.076 rttpred:12285.834 rtttarget:13264.000 rttmin12264.000 e:-0.925 eold:-0.936 eavg:-1.575 tim:13
node:102 rate:1.464 new_rtt12.264 c:1.071 rttpred:12140.796 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-2.920 tim:6
node:102 rate:1.626 new_rtt13.687 c:0.809 rttpred:15630.050 rtttarget:13264.000 rttmin12264.000 e:0.423 eold:-0.925 eavg:-1.438 tim:14
node:102 rate:1.568 new_rtt12.295 c:1.064 rttpred:12214.038 rtttarget:13264.000 rttmin12264.000 e:-0.969 eold:-1.000 eavg:-2.969 tim:7
node:102 rate:1.315 new_rtt15.258 c:0.658 rttpred:17380.065 rtttarget:13264.000 rttmin12264.000 e:1.994 eold:0.423 eavg:1.492 tim:15
node:102 rate:1.668 new_rtt12.264 c:1.073 rttpred:12092.110 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-0.969 eavg:-2.969 tim:8
node:102 rate:1.000 new_rtt13.879 c:1.107 rttpred:11036.037 rtttarget:13264.000 rttmin12264.000 e:0.615 eold:1.994 eavg:3.032 tim:16
node:102 rate:1.791 new_rtt12.290 c:1.065 rttpred:12198.498 rtttarget:13264.000 rttmin12264.000 e:-0.974 eold:-1.000 eavg:-2.943 tim:9
node:102 rate:1.107 new_rtt12.276 c:1.275 rttpred:10666.253 rtttarget:13264.000 rttmin12264.000 e:-0.988 eold:0.615 eavg:1.621 tim:17
node:102 rate:1.908 new_rtt12.271 c:1.072 rttpred:12114.206 rtttarget:13264.000 rttmin12264.000 e:-0.993 eold:-0.974 eavg:-2.967 tim:10
node:102 rate:2.044 new_rtt12.281 c:1.068 rttpred:12165.427 rtttarget:13264.000 rttmin12264.000 e:-0.983 eold:-0.993 eavg:-2.950 tim:11
node:102 rate:1.411 new_rtt12.403 c:1.061 rttpred:12474.673 rtttarget:13264.000 rttmin12264.000 e:-0.861 eold:-0.988 eavg:-1.234 tim:18
node:102 rate:2.183 new_rtt12.129 c:1.072 rttpred:11799.848 rtttarget:13129.000 rttmin12129.000 e:-1.000 eold:-0.983 eavg:-2.976 tim:12
node:102 rate:1.498 new_rtt12.810 c:0.982 rttpred:13367.382 rtttarget:13264.000 rttmin12264.000 e:-0.454 eold:-0.861 eavg:-2.303 tim:19
node:102 rate:1.000 new_rtt12.266 c:0.755 rttpred:12089.615 rtttarget:11039.400 rttmin12266.000 e:1.227 eold:0.000 eavg:0.000 tim:1
node:102 rate:1.000 new_rtt13.692 c:0.726 rttpred:11981.219 rtttarget:12322.800 rttmin13692.000 e:1.369 eold:0.000 eavg:0.000 tim:1
node:102 rate:1.000 new_rtt12.264 c:0.877 rttpred:12135.779 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.227 eavg:0.000 tim:2
node:102 rate:1.470 new_rtt13.683 c:0.862 rttpred:14920.983 rtttarget:13264.000 rttmin12264.000 e:0.419 eold:-0.454 eavg:-0.896 tim:20
node:102 rate:1.000 new_rtt13.020 c:0.877 rttpred:12144.706 rtttarget:11718.000 rttmin13020.000 e:1.302 eold:1.369 eavg:0.000 tim:2
node:102 rate:1.000 new_rtt12.268 c:0.913 rttpred:12148.013 rtttarget:11037.600 rttmin12264.000 e:1.230 eold:1.226 eavg:3.683 tim:3
node:102 rate:1.267 new_rtt14.400 c:0.826 rttpred:15102.483 rtttarget:13264.000 rttmin12264.000 e:1.136 eold:0.419 eavg:1.101 tim:21
node:102 rate:1.000 new_rtt12.974 c:0.910 rttpred:12841.063 rtttarget:11676.600 rttmin12974.000 e:1.297 eold:1.302 eavg:3.969 tim:3
node:102 rate:1.000 new_rtt12.264 c:1.338 rttpred:12131.173 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:1.230 eavg:1.457 tim:4
node:102 rate:1.046 new_rtt12.617 c:1.252 rttpred:10028.256 rtttarget:13264.000 rttmin12264.000 e:-0.647 eold:1.136 eavg:0.908 tim:22
node:102 rate:1.000 new_rtt13.942 c:1.162 rttpred:15276.352 rtttarget:13974.000 rttmin12974.000 e:-0.032 eold:1.297 eavg:2.567 tim:4
node:102 rate:1.338 new_rtt12.264 c:1.092 rttpred:12136.147 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-0.770 tim:5
node:102 rate:1.310 new_rtt12.835 c:1.022 rttpred:12997.288 rtttarget:13264.000 rttmin12264.000 e:-0.429 eold:-0.647 eavg:0.060 tim:23
node:102 rate:1.162 new_rtt13.854 c:1.032 rttpred:13668.125 rtttarget:13974.000 rttmin12974.000 e:-0.120 eold:-0.032 eavg:1.145 tim:5
node:102 rate:1.461 new_rtt12.285 c:1.066 rttpred:12183.960 rtttarget:13264.000 rttmin12264.000 e:-0.979 eold:-1.000 eavg:-2.979 tim:6
node:102 rate:1.338 new_rtt12.547 c:1.083 rttpred:12116.334 rtttarget:13264.000 rttmin12264.000 e:-0.717 eold:-0.429 eavg:-1.793 tim:24
node:102 rate:1.199 new_rtt13.509 c:1.075 rttpred:12954.414 rtttarget:13974.000 rttmin12974.000 e:-0.465 eold:-0.120 eavg:-0.617 tim:6
node:102 rate:1.449 new_rtt13.060 c:0.956 rttpred:13724.384 rtttarget:13264.000 rttmin12264.000 e:-0.204 eold:-0.717 eavg:-1.350 tim:25
node:102 rate:1.558 new_rtt12.285 c:1.068 rttpred:12150.580 rtttarget:13264.000 rttmin12264.000 e:-0.979 eold:-0.979 eavg:-2.958 tim:7
node:102 rate:1.289 new_rtt12.477 c:1.138 rttpred:11127.698 rtttarget:13477.000 rttmin12477.000 e:-1.000 eold:-0.465 eavg:-1.585 tim:7
node:102 rate:1.466 new_rtt12.352 c:1.075 rttpred:12125.610 rtttarget:13352.000 rttmin12352.000 e:-1.000 eold:-1.000 eavg:-2.465 tim:8
node:102 rate:1.664 new_rtt12.264 c:1.073 rttpred:12101.528 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-0.979 eavg:-2.958 tim:8
node:102 rate:1.385 new_rtt13.864 c:0.856 rttpred:14913.098 rtttarget:13264.000 rttmin12264.000 e:0.600 eold:-0.204 eavg:-0.321 tim:26
node:102 rate:1.785 new_rtt12.330 c:1.058 rttpred:12287.133 rtttarget:13264.000 rttmin12264.000 e:-0.934 eold:-1.000 eavg:-2.913 tim:9
node:102 rate:1.577 new_rtt12.613 c:1.020 rttpred:12938.164 rtttarget:13352.000 rttmin12352.000 e:-0.739 eold:-1.000 eavg:-2.739 tim:9
node:102 rate:1.186 new_rtt13.491 c:1.021 rttpred:12569.309 rtttarget:13264.000 rttmin12264.000 e:0.227 eold:0.600 eavg:0.623 tim:27
node:102 rate:1.888 new_rtt12.264 c:1.077 rttpred:12032.059 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-0.934 eavg:-2.934 tim:10
node:102 rate:1.210 new_rtt12.315 c:1.211 rttpred:10774.480 rtttarget:13264.000 rttmin12264.000 e:-0.949 eold:0.227 eavg:-0.122 tim:28
node:102 rate:1.609 new_rtt12.906 c:0.993 rttpred:13307.514 rtttarget:13352.000 rttmin12352.000 e:-0.446 eold:-0.739 eavg:-2.185 tim:10
node:102 rate:2.033 new_rtt12.297 c:1.064 rttpred:12210.252 rtttarget:13264.000 rttmin12264.000 e:-0.967 eold:-1.000 eavg:-2.901 tim:11
node:102 rate:1.466 new_rtt12.725 c:1.000 rttpred:13185.798 rtttarget:13264.000 rttmin12264.000 e:-0.539 eold:-0.949 eavg:-1.261 tim:29
node:102 rate:1.599 new_rtt14.552 c:0.716 rttpred:16938.477 rtttarget:13352.000 rttmin12352.000 e:1.200 eold:-0.446 eavg:0.015 tim:11
node:102 rate:2.164 new_rtt12.277 c:1.071 rttpred:12115.179 rtttarget:13264.000 rttmin12264.000 e:-0.987 eold:-0.967 eavg:-2.954 tim:12
node:102 rate:1.467 new_rtt13.580 c:0.871 rttpred:14784.711 rtttarget:13264.000 rttmin12264.000 e:0.316 eold:-0.539 eavg:-1.172 tim:30
node:102 rate:1.144 new_rtt14.435 c:0.922 rttpred:13433.323 rtttarget:13352.000 rttmin12352.000 e:1.083 eold:1.200 eavg:1.837 tim:12
node:102 rate:2.318 new_rtt12.295 c:1.066 rttpred:12186.933 rtttarget:13264.000 rttmin12264.000 e:-0.969 eold:-0.987 eavg:-2.923 tim:13
node:102 rate:1.054 new_rtt12.314 c:1.321 rttpred:9837.664 rtttarget:13314.000 rttmin12314.000 e:-1.000 eold:1.083 eavg:1.283 tim:13
node:102 rate:1.278 new_rtt14.975 c:0.704 rttpred:16655.937 rtttarget:13264.000 rttmin12264.000 e:1.711 eold:0.316 eavg:1.488 tim:31
node:102 rate:2.471 new_rtt12.386 c:1.050 rttpred:12370.718 rtttarget:13264.000 rttmin12264.000 e:-0.878 eold:-0.969 eavg:-2.834 tim:14
node:102 rate:1.393 new_rtt12.800 c:0.998 rttpred:13266.723 rtttarget:13314.000 rttmin12314.000 e:-0.514 eold:-1.000 eavg:-0.431 tim:14
node:102 rate:2.595 new_rtt12.285 c:1.080 rttpred:11994.381 rtttarget:13264.000 rttmin12264.000 e:-0.979 eold:-0.878 eavg:-2.826 tim:15
node:102 rate:1.000 new_rtt12.553 c:1.326 rttpred:8968.582 rtttarget:13264.000 rttmin12264.000 e:-0.711 eold:1.711 eavg:1.316 tim:32
node:102 rate:1.391 new_rtt12.712 c:1.048 rttpred:12574.704 rtttarget:13314.000 rttmin12314.000 e:-0.602 eold:-0.514 eavg:-2.116 tim:15
node:102 rate:1.326 new_rtt12.427 c:1.098 rttpred:12203.998 rtttarget:13264.000 rttmin12264.000 e:-0.837 eold:-0.711 eavg:0.163 tim:33
node:102 rate:1.000 new_rtt8.220 c:0.836 rttpred:8097.996 rtttarget:7398.000 rttmin8220.000 e:0.822 eold:0.000 eavg:0.000 tim:1
node:102 rate:1.456 new_rtt12.456 c:1.054 rttpred:12471.071 rtttarget:13264.000 rttmin12264.000 e:-0.808 eold:-0.837 eavg:-2.356 tim:34
