0.000 300	1.000 1.156 1.750
0.050 325	1.000 1.144 1.698
0.100 351	1.000 1.140 1.699
0.150 402	1.000 1.151 1.751
0.200 451	1.000 1.150 1.695
0.250 501	1.000 1.174 1.869
0.300 551	1.000 1.130 1.738
0.350 602	1.000 1.156 1.725
0.400 651	1.000 1.168 1.712
0.450 705	1.000 1.181 1.779
0.500 856	1.000 1.137 1.724
0.550 1010	1.002 1.286 1.806
0.600 1716	1.677 2.837 2.993
0.650 6806	2.989 5.027 8.298
0.700 35895	9.322 13.402 18.022
0.750 46309	10.123 16.587 23.993
0.800 68922	10.817 19.180 26.131
0.850 125345	11.478 23.316 34.953
0.900 341071	11.333 27.349 46.967
0.950 9998299	7.550 17.320 42.966
