0.000 300	1.000 1.021 1.621
0.050 325	1.000 1.018 1.337
0.100 351	1.000 1.022 1.483
0.150 402	1.000 1.023 1.787
0.200 451	1.000 1.030 2.037
0.250 501	1.000 1.028 2.434
0.300 551	1.000 1.025 1.678
0.350 602	1.000 1.025 1.320
0.400 651	1.000 1.027 1.643
0.450 705	1.000 1.034 1.896
0.500 856	1.000 1.027 1.846
0.550 1010	1.002 1.061 2.595
0.600 1716	1.676 2.926 3.089
0.650 6806	2.986 4.961 7.306
0.700 35895	6.586 10.130 16.319
0.750 46309	7.144 10.979 21.015
0.800 68922	7.269 11.543 24.578
0.850 125345	7.422 12.351 26.554
0.900 341071	7.161 14.903 31.480
0.950 9998299	6.403 15.222 32.574
