0.000 300	1.000 3.290 40.596
0.050 325	1.000 1.345 37.868
0.100 351	1.000 2.417 39.642
0.150 402	1.000 3.637 41.534
0.200 451	1.000 4.482 42.121
0.250 501	1.000 5.291 43.819
0.300 551	1.000 3.071 41.156
0.350 602	1.000 1.521 39.541
0.400 651	1.000 6.503 43.044
0.450 705	1.000 6.668 41.303
0.500 856	1.000 1.367 38.957
0.550 1010	1.002 7.240 40.372
0.600 1716	1.063 4.933 41.701
0.650 6806	1.181 5.186 38.391
0.700 35895	2.662 5.091 36.032
0.750 46309	3.139 7.184 34.997
0.800 68922	3.764 7.509 34.213
0.850 125345	5.083 7.820 28.817
0.900 341071	7.491 11.219 25.705
0.950 9998299	7.693 14.836 26.932
