0.000 102	1.000 1.204 2.925	1.007 1.692 2.200
0.010 201	1.000 1.205 3.458	1.009 1.651 2.133
0.020 234	1.000 1.192 2.512	1.010 1.631 2.269
0.030 269	1.000 1.203 2.142	1.012 1.758 2.391
0.040 300	1.000 1.147 2.321	1.010 1.647 2.251
0.050 305	1.000 1.179 1.486	1.010 1.650 2.151
0.060 310	1.000 1.166 1.553	1.010 1.680 2.121
0.070 315	1.000 1.180 1.489	1.012 1.646 2.537
0.080 321	1.000 1.183 4.082	1.011 1.715 2.282
0.090 325	1.000 1.178 1.627	1.012 1.747 2.245
0.100 331	1.000 1.202 3.717	1.011 1.679 2.256
0.110 336	1.000 1.188 4.742	1.011 1.699 2.168
0.120 340	1.000 1.189 1.783	1.011 1.655 2.284
0.130 345	1.000 1.220 6.326	1.011 1.666 2.236
0.140 351	1.000 1.180 3.579	1.011 1.725 2.338
0.150 361	1.000 1.208 4.653	1.012 1.723 2.349
0.160 372	1.000 1.211 5.445	1.014 1.708 2.336
0.170 381	1.000 1.177 2.026	1.011 1.649 2.257
0.180 392	1.000 1.211 2.643	1.014 1.743 2.549
0.190 402	1.000 1.236 1.970	1.013 1.715 2.449
0.200 412	1.000 1.233 8.597	1.012 1.618 2.257
0.210 422	1.000 1.235 4.989	1.011 1.719 2.416
0.220 432	1.000 1.177 1.922	1.013 1.754 2.343
0.230 442	1.000 1.215 3.066	1.012 1.772 2.246
0.240 451	1.000 1.194 3.134	1.014 1.707 2.228
0.250 461	1.000 1.206 7.899	1.013 1.737 2.317
0.260 471	1.000 1.226 1.978	1.015 1.715 2.305
0.270 481	1.000 1.196 2.937	1.015 1.740 2.356
0.280 491	1.000 1.204 5.363	1.015 1.727 2.372
0.290 501	1.000 1.211 1.799	1.012 1.692 2.227
0.300 511	1.000 1.157 1.518	1.015 1.705 2.275
0.310 521	1.000 1.191 5.775	1.012 1.662 2.267
0.320 531	1.000 1.284 3.748	1.012 1.756 2.500
0.330 541	1.000 1.189 5.339	1.015 1.694 2.353
0.340 551	1.000 1.215 2.228	1.014 1.711 2.267
0.350 561	1.000 1.212 2.476	1.014 1.688 2.165
0.360 572	1.000 1.237 2.961	1.014 1.653 2.223
0.370 582	1.000 1.191 1.796	1.016 1.713 2.194
0.380 593	1.000 1.161 2.279	1.014 1.625 2.367
0.390 602	1.000 1.176 1.701	1.016 1.764 2.388
0.400 612	1.000 1.232 2.720	1.014 1.733 2.205
0.410 622	1.000 1.191 1.812	1.015 1.665 2.325
0.420 632	1.000 1.228 3.192	1.015 1.658 2.311
0.430 641	1.000 1.200 4.086	1.014 1.686 2.243
0.440 651	1.000 1.240 3.974	1.016 1.725 2.409
0.450 661	1.000 1.199 3.024	1.015 1.738 2.368
0.460 671	1.000 1.210 5.102	1.016 1.743 2.639
0.470 681	1.000 1.167 3.567	1.015 1.599 2.070
0.480 691	1.000 1.249 4.564	1.017 1.682 2.364
0.490 705	1.000 1.224 6.275	1.018 1.657 2.191
0.500 737	1.000 1.177 1.658	1.015 1.714 2.190
0.510 765	1.000 1.172 1.773	1.015 1.667 2.260
0.520 795	1.001 1.203 4.318	1.017 1.689 2.253
0.530 827	1.002 1.228 5.620	1.018 1.699 2.392
0.540 856	1.002 1.196 5.437	1.019 1.704 2.161
0.550 886	1.002 1.242 2.039	1.018 1.703 2.219
0.560 915	1.003 1.188 3.633	1.018 1.680 2.280
0.570 943	1.004 1.212 2.110	1.018 1.686 2.171
0.580 972	1.003 1.249 5.729	1.018 1.640 2.287
0.590 1010	1.005 1.677 4.141	1.024 1.706 2.288
0.600 1158	1.676 2.945 4.798	1.093 1.772 2.300
0.610 1299	1.676 2.424 4.733	1.096 1.795 2.301
0.620 1447	1.678 2.930 3.437	1.092 1.713 2.376
0.630 1580	1.679 2.928 5.187	1.097 1.756 2.336
0.640 1716	1.680 2.926 5.705	1.099 1.753 2.431
0.650 1861	1.682 2.925 3.615	1.101 1.764 2.454
0.660 2053	1.684 2.934 5.239	1.105 1.820 2.463
0.670 3644	2.978 4.003 6.655	1.212 1.881 2.538
0.680 5175	3.658 6.639 8.383	1.332 2.118 2.839
0.690 6806	4.793 6.853 9.828	1.434 2.213 2.978
0.700 17471	5.624 8.996 13.198	1.887 2.664 3.484
0.710 28599	6.191 10.994 17.244	2.031 3.017 3.680
0.720 31857	6.560 12.095 17.642	2.070 3.010 3.713
0.730 33890	6.577 10.947 17.977	2.089 3.129 4.127
0.740 35895	6.632 11.074 18.115	2.074 3.108 3.750
0.750 37934	6.701 11.869 22.015	2.097 3.124 3.896
0.760 40048	6.697 11.618 20.174	2.117 3.235 3.918
0.770 42209	6.720 12.389 20.108	2.106 3.188 3.920
0.780 44235	6.765 11.623 21.678	2.120 3.249 3.983
0.790 46309	6.891 12.345 23.159	2.112 3.313 4.167
0.800 48346	6.864 12.563 24.634	2.134 3.343 4.105
0.810 51044	6.898 11.194 22.591	2.153 3.383 4.060
0.820 57070	6.811 11.066 24.144	2.157 3.370 4.132
0.830 63027	6.890 12.752 26.227	2.163 3.482 4.513
0.840 68922	6.871 13.042 26.108	2.172 3.466 4.539
0.850 74605	6.944 11.591 22.805	2.203 3.513 4.300
