0.000 102	1.000 1.178 2.141	1.007 1.692 2.200
0.010 201	1.000 1.198 2.502	1.009 1.651 2.133
0.020 234	1.000 1.182 1.627	1.010 1.631 2.269
0.030 269	1.000 1.194 1.561	1.012 1.758 2.391
0.040 300	1.000 1.125 1.605	1.010 1.647 2.251
0.050 305	1.000 1.203 1.537	1.010 1.650 2.151
0.060 310	1.000 1.184 1.442	1.010 1.680 2.121
0.070 315	1.000 1.146 1.489	1.012 1.646 2.537
0.080 321	1.000 1.142 1.709	1.011 1.715 2.282
0.090 325	1.000 1.166 1.946	1.012 1.747 2.245
0.100 331	1.000 1.136 1.875	1.011 1.679 2.256
0.110 336	1.000 1.195 3.763	1.011 1.699 2.168
0.120 340	1.000 1.164 1.679	1.011 1.655 2.284
0.130 345	1.000 1.207 2.164	1.011 1.666 2.236
0.140 351	1.000 1.188 1.639	1.011 1.725 2.338
0.150 361	1.000 1.204 2.884	1.012 1.723 2.349
0.160 372	1.000 1.218 1.931	1.014 1.708 2.336
0.170 381	1.000 1.143 1.592	1.011 1.649 2.257
0.180 392	1.000 1.212 2.065	1.014 1.743 2.549
0.190 402	1.000 1.182 1.718	1.013 1.715 2.449
0.200 412	1.000 1.185 2.935	1.012 1.618 2.257
0.210 422	1.000 1.203 3.707	1.011 1.719 2.416
0.220 432	1.000 1.199 1.724	1.013 1.754 2.343
0.230 442	1.000 1.195 1.875	1.012 1.772 2.246
0.240 451	1.000 1.244 2.212	1.014 1.707 2.228
0.250 461	1.000 1.191 5.179	1.013 1.737 2.317
0.260 471	1.000 1.213 1.787	1.015 1.715 2.305
0.270 481	1.000 1.208 2.112	1.015 1.740 2.356
0.280 491	1.000 1.185 2.958	1.015 1.727 2.372
0.290 501	1.000 1.210 1.629	1.012 1.692 2.227
0.300 511	1.000 1.147 1.414	1.015 1.705 2.275
0.310 521	1.000 1.166 1.739	1.012 1.662 2.267
0.320 531	1.000 1.172 1.577	1.012 1.756 2.500
0.330 541	1.000 1.198 2.457	1.015 1.694 2.353
0.340 551	1.000 1.191 1.776	1.014 1.711 2.267
0.350 561	1.000 1.213 2.439	1.014 1.688 2.165
0.360 572	1.000 1.196 2.539	1.014 1.653 2.223
0.370 582	1.000 1.154 1.507	1.016 1.713 2.194
0.380 593	1.000 1.142 1.450	1.014 1.625 2.367
0.390 602	1.000 1.154 1.504	1.016 1.764 2.388
0.400 612	1.000 1.192 2.437	1.014 1.733 2.205
0.410 622	1.000 1.187 1.640	1.015 1.665 2.325
0.420 632	1.000 1.199 3.187	1.015 1.658 2.311
0.430 641	1.000 1.165 2.911	1.014 1.686 2.243
0.440 651	1.000 1.250 2.453	1.016 1.725 2.409
0.450 661	1.000 1.192 2.972	1.015 1.738 2.368
0.460 671	1.000 1.164 1.869	1.016 1.743 2.639
0.470 681	1.000 1.203 1.848	1.015 1.599 2.070
0.480 691	1.000 1.177 2.497	1.017 1.682 2.364
0.490 705	1.000 1.235 4.817	1.018 1.657 2.191
0.500 737	1.000 1.183 1.441	1.015 1.714 2.190
0.510 765	1.001 1.178 1.801	1.015 1.667 2.260
0.520 795	1.000 1.217 2.537	1.017 1.689 2.253
0.530 827	1.002 1.261 2.956	1.018 1.699 2.392
0.540 856	1.002 1.155 2.703	1.019 1.704 2.161
0.550 886	1.002 1.213 1.961	1.018 1.703 2.219
0.560 915	1.002 1.154 1.485	1.018 1.680 2.280
0.570 943	1.003 1.202 1.604	1.018 1.686 2.171
0.580 972	1.003 1.215 4.244	1.018 1.640 2.287
0.590 1010	1.005 1.677 3.638	1.024 1.706 2.288
0.600 1158	1.676 2.939 3.290	1.093 1.772 2.300
0.610 1299	1.676 2.612 4.276	1.096 1.795 2.301
0.620 1447	1.680 2.927 3.047	1.092 1.713 2.376
0.630 1580	1.680 2.926 3.492	1.097 1.756 2.336
0.640 1716	1.680 2.923 3.833	1.099 1.753 2.431
0.650 1861	1.681 2.922 3.286	1.101 1.764 2.454
0.660 2053	1.684 2.925 4.828	1.105 1.820 2.463
0.670 3644	2.977 4.036 6.647	1.212 1.881 2.538
0.680 5175	3.659 6.597 8.236	1.332 2.118 2.839
0.690 6806	4.912 6.981 8.623	1.434 2.213 2.978
0.700 17471	5.603 8.612 13.270	1.887 2.664 3.484
0.710 28599	6.208 11.114 14.482	2.031 3.017 3.680
0.720 31857	6.512 10.603 15.004	2.070 3.010 3.713
0.730 33890	6.605 10.779 16.349	2.089 3.129 4.127
0.740 35895	6.668 10.211 16.222	2.074 3.108 3.750
0.750 37934	6.702 11.722 18.832	2.097 3.124 3.896
0.760 40048	6.710 12.373 19.548	2.117 3.235 3.918
0.770 42209	6.769 10.738 16.172	2.106 3.188 3.920
0.780 44235	6.751 11.982 22.215	2.120 3.249 3.983
0.790 46309	6.773 11.052 22.717	2.112 3.313 4.167
0.800 48346	6.870 11.786 21.868	2.134 3.343 4.105
0.810 51044	6.808 11.722 20.548	2.153 3.383 4.060
0.820 57070	6.849 11.080 23.104	2.157 3.370 4.132
0.830 63027	6.821 11.771 22.178	2.163 3.482 4.513
0.840 68922	6.879 12.030 25.699	2.172 3.466 4.539
0.850 74605	6.927 12.361 27.615	2.203 3.513 4.300
0.860 81159	6.914 12.226 26.239	2.185 3.523 4.569
0.870 94922	6.868 11.719 21.746	2.202 3.669 5.059
0.880 108683	6.898 12.197 24.548	2.241 3.902 5.509
0.890 125345	6.825 12.503 28.031	2.244 4.000 5.383
0.900 160388	6.663 13.303 29.641	2.245 4.173 5.748
0.910 197805	6.365 13.226 27.902	2.294 4.364 6.099
0.920 233101	6.196 13.200 28.422	2.385 4.786 7.018
0.930 269098	6.052 14.947 32.060	2.440 4.886 6.638
0.940 341071	5.984 15.507 33.502	2.490 5.135 7.996
0.950 599835	5.263 15.832 42.375	2.710 6.036 9.641
0.960 880507	4.521 13.558 27.132	2.992 7.203 10.302
0.970 1384381	3.938 13.699 29.642	3.224 8.581 14.191
0.980 2217235	3.349 12.900 27.197	3.361 9.329 15.265
0.990 9998299	2.575 7.831 14.887	3.863 9.239 13.652
double wp = -0.08;//
double wi = -0.006;//
double wd = -0.05;//
0.1<c<1.5
