0.000 102	1.000 1.225 2.713	1.000 1.176 1.404	1.007 1.692 2.200
0.010 201	1.000 1.212 3.310	1.000 1.163 1.454	1.009 1.651 2.133
0.020 234	1.000 1.173 2.429	1.000 1.152 1.422	1.010 1.631 2.269
0.030 269	1.000 1.162 2.014	1.000 1.152 1.377	1.012 1.758 2.391
0.040 300	1.000 1.174 2.055	1.000 1.150 1.431	1.010 1.647 2.251
0.050 305	1.000 1.187 1.845	1.000 1.174 1.460	1.010 1.650 2.151
0.060 310	1.000 1.158 1.566	1.000 1.115 1.326	1.010 1.680 2.121
0.070 315	1.000 1.179 1.890	1.000 1.146 1.356	1.012 1.646 2.537
0.080 321	1.000 1.183 3.515	1.000 1.150 1.350	1.011 1.715 2.282
0.090 325	1.000 1.138 1.437	1.000 1.134 1.423	1.012 1.747 2.245
0.100 331	1.000 1.183 2.616	1.000 1.158 1.387	1.011 1.679 2.256
0.110 336	1.000 1.192 4.073	1.000 1.141 1.472	1.011 1.699 2.168
0.120 340	1.000 1.208 1.891	1.000 1.164 1.453	1.011 1.655 2.284
0.130 345	1.000 1.179 2.530	1.000 1.169 1.344	1.011 1.666 2.236
0.140 351	1.000 1.165 2.633	1.000 1.155 1.461	1.011 1.725 2.338
0.150 361	1.000 1.185 3.442	1.000 1.178 1.411	1.012 1.723 2.349
0.160 372	1.000 1.218 2.836	1.000 1.174 1.384	1.014 1.708 2.336
0.170 381	1.000 1.165 1.926	1.000 1.148 1.373	1.011 1.649 2.257
0.180 392	1.000 1.201 3.814	1.000 1.153 1.466	1.014 1.743 2.549
0.190 402	1.000 1.203 2.225	1.000 1.189 1.475	1.013 1.715 2.449
0.200 412	1.000 1.223 4.107	1.000 1.180 1.573	1.012 1.618 2.257
0.210 422	1.000 1.252 4.022	1.000 1.155 1.534	1.011 1.719 2.416
0.220 432	1.000 1.218 1.757	1.000 1.155 1.471	1.013 1.754 2.343
0.230 442	1.000 1.235 3.336	1.000 1.193 1.446	1.012 1.772 2.246
0.240 451	1.000 1.237 2.976	1.000 1.153 1.330	1.014 1.707 2.228
0.250 461	1.000 1.238 6.203	1.000 1.206 1.596	1.013 1.737 2.317
0.260 471	1.000 1.246 2.149	1.000 1.187 1.601	1.015 1.715 2.305
0.270 481	1.000 1.206 3.434	1.000 1.197 1.428	1.015 1.740 2.356
0.280 491	1.000 1.213 4.114	1.000 1.158 1.645	1.015 1.727 2.372
0.290 501	1.000 1.222 1.763	1.000 1.180 1.415	1.012 1.692 2.227
0.300 511	1.000 1.212 1.427	1.000 1.165 1.415	1.015 1.705 2.275
0.310 521	1.000 1.197 2.973	1.000 1.173 1.450	1.012 1.662 2.267
0.320 531	1.000 1.230 3.787	1.000 1.182 1.371	1.012 1.756 2.500
0.330 541	1.000 1.217 4.015	1.000 1.176 1.455	1.015 1.694 2.353
0.340 551	1.000 1.230 2.071	1.000 1.158 1.441	1.014 1.711 2.267
0.350 561	1.000 1.202 4.359	1.000 1.175 1.395	1.014 1.688 2.165
0.360 572	1.000 1.174 3.243	1.000 1.176 1.431	1.014 1.653 2.223
0.370 582	1.000 1.162 1.618	1.000 1.170 1.391	1.016 1.713 2.194
0.380 593	1.000 1.212 1.576	1.000 1.165 1.351	1.014 1.625 2.367
0.390 602	1.000 1.169 1.796	1.000 1.157 1.320	1.016 1.764 2.388
0.400 612	1.000 1.227 2.527	1.000 1.180 1.492	1.014 1.733 2.205
0.410 622	1.000 1.191 1.774	1.000 1.162 1.384	1.015 1.665 2.325
0.420 632	1.000 1.172 2.520	1.000 1.163 1.481	1.015 1.658 2.311
0.430 641	1.000 1.232 3.343	1.000 1.156 1.410	1.014 1.686 2.243
0.440 651	1.000 1.230 4.209	1.000 1.193 1.542	1.016 1.725 2.409
0.450 661	1.000 1.183 4.739	1.000 1.179 1.429	1.015 1.738 2.368
0.460 671	1.000 1.184 2.823	1.000 1.166 1.404	1.016 1.743 2.639
0.470 681	1.000 1.228 2.872	1.000 1.184 1.406	1.015 1.599 2.070
0.480 691	1.000 1.196 3.336	1.000 1.165 1.450	1.017 1.682 2.364
0.490 705	1.000 1.258 5.689	1.000 1.146 1.424	1.018 1.657 2.191
0.500 737	1.000 1.169 1.640	1.000 1.162 1.449	1.015 1.714 2.190
0.510 765	1.000 1.194 2.468	1.001 1.163 1.432	1.015 1.667 2.260
0.520 795	1.001 1.218 3.977	1.001 1.181 1.535	1.017 1.689 2.253
0.530 827	1.001 1.231 3.692	1.002 1.186 1.527	1.018 1.699 2.392
0.540 856	1.001 1.198 2.768	1.002 1.174 1.391	1.019 1.704 2.161
0.550 886	1.002 1.225 2.389	1.002 1.173 1.381	1.018 1.703 2.219
0.560 915	1.003 1.204 2.135	1.003 1.174 1.419	1.018 1.680 2.280
0.570 943	1.003 1.224 1.707	1.004 1.189 1.337	1.018 1.686 2.171
0.580 972	1.003 1.242 4.891	1.004 1.181 1.610	1.018 1.640 2.287
0.590 1010	1.005 1.686 4.268	1.006 1.676 2.039	1.024 1.706 2.288
0.600 1158	1.677 2.952 3.960	1.677 2.934 3.103	1.093 1.772 2.300
0.610 1299	1.676 2.920 4.561	1.679 2.224 3.004	1.096 1.795 2.301
0.620 1447	1.679 2.928 3.140	1.680 2.750 3.015	1.092 1.713 2.376
0.630 1580	1.680 2.936 5.163	1.681 2.925 3.055	1.097 1.756 2.336
0.640 1716	1.681 2.924 4.013	1.681 2.545 3.029	1.099 1.753 2.431
0.650 1861	1.682 2.932 3.689	1.684 2.921 3.114	1.101 1.764 2.454
0.660 2053	1.685 2.927 4.877	1.686 2.920 3.123	1.105 1.820 2.463
0.670 3644	2.978 4.071 6.651	2.979 4.007 6.646	1.212 1.881 2.538
0.680 5175	3.658 6.591 8.361	3.664 6.151 8.213	1.332 2.118 2.839
0.690 6806	4.870 6.990 8.484	4.912 6.754 8.668	1.434 2.213 2.978
0.700 17471	5.612 8.818 12.771	5.692 9.047 12.365	1.887 2.664 3.484
0.710 28599	6.191 10.865 15.168	6.245 10.998 14.886	2.031 3.017 3.680
0.720 31857	6.554 11.093 15.714	6.593 10.278 17.551	2.070 3.010 3.713
0.730 33890	6.614 11.286 17.430	6.646 11.529 17.945	2.089 3.129 4.127
0.740 35895	6.653 10.721 16.860	6.665 11.182 17.842	2.074 3.108 3.750
0.750 37934	6.689 11.750 17.303	6.711 11.791 19.474	2.097 3.124 3.896
0.760 40048	6.690 11.078 18.802	6.714 11.585 20.307	2.117 3.235 3.918
0.770 42209	6.758 11.247 17.149	6.783 11.184 21.318	2.106 3.188 3.920
0.780 44235	6.814 12.566 19.972	6.822 12.115 21.485	2.120 3.249 3.983
0.790 46309	6.912 11.625 18.537	6.911 12.355 21.848	2.112 3.313 4.167
0.800 48346	6.839 11.882 20.697	6.874 12.266 23.567	2.134 3.343 4.105
0.810 51044	6.879 11.133 18.968	6.908 11.698 23.094	2.153 3.383 4.060
0.820 57070	6.812 12.107 22.968	7.002 12.334 22.696	2.157 3.370 4.132
0.830 63027	6.840 11.800 21.243	6.941 12.948 25.957	2.163 3.482 4.513
0.840 68922	7.047 11.416 18.439	7.087 12.601 26.299	2.172 3.466 4.539
0.850 74605	6.884 11.457 18.976	6.969 11.543 23.616	2.203 3.513 4.300
0.860 81159	6.978 12.354 18.985	6.982 12.552 23.697	2.185 3.523 4.569
0.870 94922	6.934 11.630 18.860	6.829 13.303 30.968	2.202 3.669 5.059
0.880 108683	6.854 11.742 17.151	6.899 14.030 26.023	2.241 3.902 5.509
0.890 125345	6.743 11.733 19.356	6.810 13.600 28.395	2.244 4.000 5.383
0.900 160388	6.655 11.320 16.505	6.704 13.754 32.437	2.245 4.173 5.748
0.910 197805	6.434 11.851 21.243	6.506 15.118 35.590	2.294 4.364 6.099
0.920 233101	6.151 10.466 22.215	6.338 13.935 34.566	2.385 4.786 7.018
0.930 269098	6.011 11.341 27.227	6.140 17.148 39.789	2.440 4.886 6.638
0.940 341071	5.925 12.451 30.346	6.066 15.438 38.257	2.490 5.135 7.996
0.950 599835	5.147 12.620 40.033	5.197 14.916 48.403	2.710 6.036 9.641
0.960 880507	4.381 11.982 33.344	4.507 14.353 31.125	2.992 7.203 10.302
0.970 1384381	3.844 13.455 32.606	3.917 12.651 34.691	3.224 8.581 14.191
0.980 2217235	3.299 11.996 27.971	3.282 12.356 26.407	3.361 9.329 15.265
0.990 9998299	2.573 7.486 14.048	2.383 7.211 12.854	3.863 9.239 13.652

