0.000 300	1.000 78.754 149.818
0.050 325	1.000 71.254 137.433
0.100 351	1.000 80.191 145.745
0.150 401	1.000 81.338 148.490
0.200 451	1.000 82.363 148.757
0.250 500	1.000 84.837 160.883
0.300 549	1.000 74.720 150.485
0.350 601	1.000 83.570 141.432
0.400 650	1.000 84.559 148.039
0.450 699	1.000 84.487 162.558
0.500 849	1.000 68.989 144.564
0.550 996	1.000 82.417 149.595
0.600 1682	1.060 82.346 156.332
0.650 6367	1.179 82.751 145.528
0.700 35274	2.634 70.160 120.970
0.750 45755	3.123 70.126 114.320
0.800 66880	3.745 63.272 103.157
0.850 117372	4.777 53.084 90.408
0.900 292518	7.477 50.502 68.894
0.950 9991842	31.935 86.677 93.910
