0.000 298	1.000 80.550 146.424
0.050 325	1.000 72.854 139.489
0.100 349	1.000 81.335 141.003
0.150 398	1.000 80.221 147.673
0.200 448	1.000 82.085 148.488
0.250 496	1.000 88.243 164.104
0.300 545	1.000 73.346 148.312
0.350 596	1.000 84.134 142.402
0.400 644	1.000 84.678 150.500
0.450 693	1.000 89.406 155.809
0.500 829	1.000 69.786 151.762
0.550 972	1.000 79.218 144.025
0.600 1566	1.056 84.733 154.038
0.650 4879	1.113 79.720 147.274
0.700 33307	2.452 78.548 133.842
0.750 43569	3.014 67.333 114.254
0.800 60378	3.506 68.686 103.251
0.850 101698	4.366 52.920 90.537
0.900 247429	6.409 44.175 73.672
0.950 9991842	10.925 62.377 76.205
