0.000 300	1.000 80.658 149.251
0.050 325	1.000 74.591 144.482
0.100 351	1.000 81.907 144.038
0.150 402	1.000 83.391 150.151
0.200 451	1.000 82.912 149.025
0.250 501	1.000 85.166 163.983
0.300 551	1.000 79.725 155.007
0.350 602	1.000 82.596 140.161
0.400 651	1.000 87.525 149.584
0.450 705	1.000 86.393 163.799
0.500 856	1.000 70.895 147.316
0.550 1010	1.000 84.364 150.619
0.600 1716	1.061 84.775 155.797
0.650 6806	1.208 86.484 150.656
0.700 35895	2.665 70.019 117.373
0.750 46309	3.153 72.005 115.029
0.800 68922	3.817 63.139 101.796
0.850 125345	4.972 53.598 87.641
0.900 341071	8.010 53.004 69.341
0.950 9998299	45.319 92.494 96.634
