0.000 300	1.000 13.335 65.947
0.050 325	1.000 6.614 64.355
0.100 351	1.000 14.717 64.935
0.150 402	1.000 17.513 66.418
0.200 451	1.000 20.839 66.296
0.250 501	1.001 22.789 68.780
0.300 551	1.001 16.761 66.976
0.350 602	1.002 10.405 64.181
0.400 651	1.003 23.265 67.020
0.450 705	1.003 32.351 65.631
0.500 856	1.004 9.054 64.670
0.550 1010	1.007 20.335 66.070
0.600 1716	1.011 15.067 67.782
0.650 6806	1.029 18.242 64.215
0.700 35895	1.184 9.935 55.981
0.750 46309	1.242 15.791 51.876
0.800 68922	1.306 16.802 49.737
0.850 125345	1.413 7.921 42.067
0.900 341071	1.608 8.159 45.496
0.950 9998299	1.882 9.900 31.862
