0.000 300	1.000 1.220 1.758
0.050 325	1.000 1.178 1.690
0.100 351	1.000 1.238 1.816
0.150 402	1.000 1.214 1.847
0.200 451	1.000 1.246 1.835
0.250 501	1.000 1.250 1.841
0.300 551	1.000 1.204 1.738
0.350 602	1.000 1.192 1.712
0.400 651	1.000 1.232 1.910
0.450 705	1.000 1.208 1.782
0.500 856	1.000 1.184 1.796
0.550 1010	1.001 1.209 1.793
0.600 1716	1.064 1.295 1.974
0.650 6803	1.184 1.610 2.063
0.700 35888	2.677 3.743 4.768
0.750 46291	3.169 4.643 7.780
0.800 68883	3.769 6.515 17.051
0.850 125250	4.701 16.234 30.764
0.900 339375	6.595 46.175 57.634
0.950 9998299	8.484 64.732 80.186
