0.000 300	1.000 3.369 41.752
0.050 325	1.000 3.265 36.228
0.100 351	1.000 3.443 38.530
0.150 402	1.000 3.433 40.425
0.200 451	1.000 3.654 41.267
0.250 501	1.000 3.415 42.180
0.300 551	1.000 3.628 38.839
0.350 602	1.001 3.280 36.761
0.400 651	1.001 3.521 42.416
0.450 705	1.002 3.573 41.584
0.500 856	1.003 3.207 38.246
0.550 1010	1.005 3.440 38.638
0.600 1716	1.009 3.474 42.630
0.650 6806	1.023 3.351 36.742
0.700 35895	1.174 3.234 32.341
0.750 46309	1.229 3.305 29.085
0.800 68922	1.294 3.367 29.640
0.850 125345	1.379 3.165 24.809
0.900 341071	1.573 3.869 27.117
0.950 9998299	1.835 6.273 23.700
