0.000 300	59.770 206.612 290.778
0.050 325	56.678 195.293 283.461
0.100 351	61.458 209.335 284.008
0.150 401	59.316 203.374 287.469
0.200 451	60.533 206.179 279.925
0.250 501	59.854 204.360 292.735
0.300 550	58.127 199.939 285.399
0.350 602	59.483 201.974 278.400
0.400 651	59.769 207.490 284.921
0.450 704	59.992 201.339 286.620
0.500 855	59.258 202.429 280.479
0.550 1006	60.055 194.271 274.393
0.600 1712	61.098 205.625 278.603
0.650 6724	59.161 201.261 287.647
0.700 35806	51.265 171.223 252.660
0.750 46247	46.871 159.647 223.383
0.800 68728	43.408 145.350 200.950
0.850 123856	36.749 121.854 170.192
0.900 336204	25.837 84.506 120.800
0.950 9998299	10.421 34.287 54.722
