node:14 rate:1.000 new_rtt8.140 c:0.972 rttpred:7946.760 rtttarget:7326.000 rttmin8140.000 e:0.085 eold:0.000 eavg:0.000 flag:1
node:14 rate:1.000 new_rtt12.264 c:0.967 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:0.099 eold:0.000 eavg:0.000 flag:1
node:14 rate:1.000 new_rtt12.264 c:0.980 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:0.099 eold:0.099 eavg:0.000 flag:1
node:14 rate:1.000 new_rtt12.264 c:0.980 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:0.099 eold:0.099 eavg:0.000 flag:1
node:14 rate:1.000 new_rtt12.264 c:0.970 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:0.099 eold:0.099 eavg:0.099 flag:1
node:14 rate:1.000 new_rtt12.264 c:0.970 rttpred:12131.202 rtttarget:15330.000 rttmin12264.000 e:0.099 eold:0.099 eavg:0.099 flag:1
node:14 rate:1.000 new_rtt4.246 c:0.967 rttpred:4200.023 rtttarget:3821.400 rttmin4246.000 e:0.099 eold:0.000 eavg:0.000 flag:1
node:14 rate:1.000 new_rtt12.264 c:1.083 rttpred:12131.202 rtttarget:15330.000 rttmin12264.000 e:-0.209 eold:0.099 eavg:-0.004 flag:1
node:14 rate:1.000 new_rtt4.246 c:0.980 rttpred:4200.023 rtttarget:3821.400 rttmin4246.000 e:0.099 eold:0.099 eavg:0.000 flag:1
node:14 rate:1.000 new_rtt4.246 c:0.980 rttpred:4200.023 rtttarget:3821.400 rttmin4246.000 e:0.099 eold:0.099 eavg:0.000 flag:1
node:14 rate:1.083 new_rtt12.264 c:1.048 rttpred:12131.202 rtttarget:15330.000 rttmin12264.000 e:-0.209 eold:-0.209 eavg:-0.055 flag:1
node:14 rate:1.000 new_rtt4.246 c:0.970 rttpred:4200.023 rtttarget:3821.400 rttmin4246.000 e:0.099 eold:0.099 eavg:0.099 flag:1
node:14 rate:1.000 new_rtt4.312 c:0.954 rttpred:4353.501 rtttarget:5307.500 rttmin4246.000 e:0.139 eold:0.099 eavg:0.119 flag:1
node:14 rate:1.135 new_rtt12.264 c:1.051 rttpred:12131.202 rtttarget:15330.000 rttmin12264.000 e:-0.209 eold:-0.209 eavg:-0.086 flag:1
node:14 rate:1.000 new_rtt4.246 c:1.094 rttpred:4096.369 rtttarget:5307.500 rttmin4246.000 e:-0.228 eold:0.139 eavg:0.003 flag:1
node:14 rate:1.094 new_rtt4.246 c:1.045 rttpred:4200.326 rtttarget:5307.500 rttmin4246.000 e:-0.209 eold:-0.228 eavg:-0.050 flag:1
node:14 rate:1.194 new_rtt12.264 c:1.053 rttpred:12131.202 rtttarget:15330.000 rttmin12264.000 e:-0.209 eold:-0.209 eavg:-0.106 flag:1
node:14 rate:1.144 new_rtt4.176 c:0.950 rttpred:4041.748 rtttarget:5220.000 rttmin4176.000 e:0.075 eold:-0.209 eavg:-0.025 flag:1
node:14 rate:1.087 new_rtt4.176 c:1.084 rttpred:4145.658 rtttarget:5220.000 rttmin4176.000 e:-0.206 eold:0.075 eavg:-0.055 flag:1
node:14 rate:1.257 new_rtt12.264 c:1.055 rttpred:12131.202 rtttarget:15330.000 rttmin12264.000 e:-0.209 eold:-0.209 eavg:-0.121 flag:1
node:14 rate:1.178 new_rtt4.176 c:1.050 rttpred:4145.790 rtttarget:5220.000 rttmin4176.000 e:-0.206 eold:-0.206 eavg:-0.076 flag:1
node:14 rate:1.237 new_rtt4.179 c:1.051 rttpred:4150.139 rtttarget:5220.000 rttmin4176.000 e:-0.205 eold:-0.206 eavg:-0.092 flag:1
node:14 rate:1.326 new_rtt12.264 c:1.056 rttpred:12131.202 rtttarget:15330.000 rttmin12264.000 e:-0.209 eold:-0.209 eavg:-0.132 flag:1
node:14 rate:1.300 new_rtt4.231 c:1.045 rttpred:4265.042 rtttarget:5220.000 rttmin4176.000 e:-0.183 eold:-0.205 eavg:-0.103 flag:1
node:14 rate:1.358 new_rtt4.176 c:1.063 rttpred:4054.073 rtttarget:5220.000 rttmin4176.000 e:-0.223 eold:-0.183 eavg:-0.115 flag:1
node:14 rate:1.401 new_rtt12.264 c:1.057 rttpred:12131.202 rtttarget:15330.000 rttmin12264.000 e:-0.209 eold:-0.209 eavg:-0.140 flag:1
node:14 rate:1.443 new_rtt4.240 c:1.043 rttpred:4285.661 rtttarget:5220.000 rttmin4176.000 e:-0.179 eold:-0.223 eavg:-0.120 flag:1
