node:148 rate:1.000 new_rtt12.745 c:1.027 rttpred:10556.731 rtttarget:11470.500 rttmin12745.000 e:-0.080 eold:0.000 eavg:0.000 flag:1
node:148 rate:1.027 new_rtt12.348 c:0.970 rttpred:11776.323 rtttarget:11113.200 rttmin12348.000 e:0.060 eold:-0.080 eavg:0.000 flag:1
node:148 rate:1.000 new_rtt12.422 c:0.968 rttpred:12442.161 rtttarget:11113.200 rttmin12348.000 e:0.120 eold:0.060 eavg:0.000 flag:1
node:148 rate:1.000 new_rtt12.344 c:0.972 rttpred:12213.137 rtttarget:11109.600 rttmin12344.000 e:0.099 eold:0.120 eavg:0.099 flag:1
node:148 rate:1.000 new_rtt12.777 c:0.930 rttpred:13352.929 rtttarget:15430.000 rttmin12344.000 e:0.202 eold:0.099 eavg:0.151 flag:1
node:148 rate:1.000 new_rtt12.656 c:1.087 rttpred:12461.723 rtttarget:15430.000 rttmin12344.000 e:-0.192 eold:0.202 eavg:0.036 flag:1
node:148 rate:1.087 new_rtt12.824 c:1.029 rttpred:13004.630 rtttarget:15430.000 rttmin12344.000 e:-0.157 eold:-0.192 eavg:-0.012 flag:1
node:148 rate:1.000 new_rtt4.176 c:0.967 rttpred:4130.781 rtttarget:3758.400 rttmin4176.000 e:0.099 eold:0.000 eavg:0.000 flag:1
node:148 rate:1.118 new_rtt12.524 c:1.058 rttpred:12045.151 rtttarget:15430.000 rttmin12344.000 e:-0.219 eold:-0.157 eavg:-0.054 flag:1
node:148 rate:1.000 new_rtt4.176 c:0.980 rttpred:4130.781 rtttarget:3758.400 rttmin4176.000 e:0.099 eold:0.099 eavg:0.000 flag:1
node:148 rate:1.184 new_rtt12.482 c:1.046 rttpred:12370.228 rtttarget:15430.000 rttmin12344.000 e:-0.198 eold:-0.219 eavg:-0.078 flag:1
node:148 rate:1.000 new_rtt4.176 c:0.980 rttpred:4130.781 rtttarget:3758.400 rttmin4176.000 e:0.099 eold:0.099 eavg:0.000 flag:1
node:148 rate:1.000 new_rtt4.235 c:0.954 rttpred:4267.908 rtttarget:3758.400 rttmin4176.000 e:0.136 eold:0.099 eavg:0.136 flag:1
node:148 rate:1.238 new_rtt12.264 c:0.953 rttpred:11920.564 rtttarget:15330.000 rttmin12264.000 e:0.080 eold:-0.198 eavg:-0.055 flag:1
node:148 rate:1.000 new_rtt4.176 c:0.982 rttpred:4038.242 rtttarget:5220.000 rttmin4176.000 e:0.074 eold:0.136 eavg:0.105 flag:1
node:148 rate:1.000 new_rtt8.220 c:0.967 rttpred:8130.991 rtttarget:7398.000 rttmin8220.000 e:0.099 eold:0.000 eavg:0.000 flag:1
node:148 rate:1.000 new_rtt4.176 c:1.080 rttpred:4131.054 rtttarget:5220.000 rttmin4176.000 e:-0.209 eold:0.074 eavg:0.000 flag:1
node:148 rate:1.180 new_rtt12.308 c:1.083 rttpred:12323.702 rtttarget:15330.000 rttmin12264.000 e:-0.196 eold:0.080 eavg:-0.073 flag:1
node:148 rate:1.000 new_rtt8.220 c:0.980 rttpred:8130.991 rtttarget:7398.000 rttmin8220.000 e:0.099 eold:0.099 eavg:0.000 flag:1
node:148 rate:1.080 new_rtt4.176 c:1.048 rttpred:4133.324 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.209 eavg:-0.052 flag:1
node:148 rate:1.000 new_rtt8.220 c:0.980 rttpred:8130.991 rtttarget:7398.000 rttmin8220.000 e:0.099 eold:0.099 eavg:0.000 flag:1
node:148 rate:1.278 new_rtt12.492 c:1.040 rttpred:12695.687 rtttarget:15330.000 rttmin12264.000 e:-0.172 eold:-0.196 eavg:-0.084 flag:1
node:148 rate:1.131 new_rtt4.176 c:1.051 rttpred:4132.823 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.083 flag:1
node:148 rate:1.000 new_rtt8.220 c:0.970 rttpred:8130.991 rtttarget:7398.000 rttmin8220.000 e:0.099 eold:0.099 eavg:0.099 flag:1
node:148 rate:1.000 new_rtt8.212 c:0.967 rttpred:8112.505 rtttarget:7390.800 rttmin8212.000 e:0.098 eold:0.000 eavg:0.000 flag:1
node:148 rate:1.189 new_rtt4.215 c:1.047 rttpred:4223.016 rtttarget:5220.000 rttmin4176.000 e:-0.191 eold:-0.208 eavg:-0.101 flag:1
node:148 rate:1.330 new_rtt12.475 c:1.052 rttpred:12361.040 rtttarget:15330.000 rttmin12264.000 e:-0.194 eold:-0.172 eavg:-0.095 flag:1
node:148 rate:1.000 new_rtt8.220 c:0.970 rttpred:8130.991 rtttarget:10275.000 rttmin8220.000 e:0.099 eold:0.099 eavg:0.099 flag:1
