[4506, 100.0, 100.0]
[6083, 100.0, 50.0]
[7660, 50.0, 50.0]
[9237, 50.0, 50.0]
[10814, 50.0, 50.0]
[12391, 50.0, 50.0]
[13968, 50.0, 50.0]
[15545, 50.0, 50.0]
[17122, 50.0, 50.0]
[18699, 50.0, 50.0]
[20276, 50.0, 50.0]
[21853, 50.0, 50.0]
[23430, 50.0, 50.0]
[25007, 50.0, 50.0]
[26584, 50.0, 50.0]
[28161, 50.0, 50.0]
[29738, 50.0, 50.0]
[31315, 50.0, 50.0]
[32892, 50.0, 50.0]
[34469, 50.0, 50.0]
[36046, 50.0, 50.0]
[37623, 50.0, 50.0]
[39200, 50.0, 50.0]
[40777, 50.0, 50.0]
[42354, 50.0, 50.0]
[43931, 50.0, 50.0]
[45508, 50.0, 50.0]
[47085, 50.0, 50.0]
[48662, 50.0, 50.0]
[50239, 50.0, 50.0]
[51816, 50.0, 50.0]
[53393, 50.0, 50.0]
[54970, 50.0, 50.0]
[56547, 50.0, 50.0]
[58124, 50.0, 50.0]
[59701, 50.0, 50.0]
[61278, 50.0, 50.0]
[62855, 50.0, 50.0]
[64432, 50.0, 50.0]
[66009, 50.0, 50.0]
[67586, 50.0, 50.0]
[69163, 50.0, 50.0]
[70740, 50.0, 50.0]
[72317, 50.0, 50.0]
[73894, 50.0, 50.0]
[75471, 50.0, 50.0]
[77048, 50.0, 50.0]
[78625, 50.0, 50.0]
[80202, 50.0, 50.0]
[81779, 50.0, 50.0]
[83356, 50.0, 50.0]
[84933, 50.0, 50.0]
[86320, 50.0, 50.0]
[43160, 50.0, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.644]
[22825, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 26.259]
