[5585, 100.0, 50.0]
[7162, 50.0, 50.0]
[8739, 50.0, 50.0]
[10316, 50.0, 50.0]
[11893, 50.0, 50.0]
[13470, 50.0, 50.0]
[15047, 50.0, 50.0]
[16624, 50.0, 50.0]
[18201, 50.0, 50.0]
[19778, 50.0, 50.0]
[21355, 50.0, 50.0]
[22932, 50.0, 50.0]
[24509, 50.0, 50.0]
[26086, 50.0, 50.0]
[27663, 50.0, 50.0]
[29240, 50.0, 50.0]
[30817, 50.0, 50.0]
[32394, 50.0, 50.0]
[33971, 50.0, 50.0]
[35548, 50.0, 50.0]
[37125, 50.0, 50.0]
[38702, 50.0, 50.0]
[40279, 50.0, 50.0]
[41856, 50.0, 50.0]
[43433, 50.0, 50.0]
[45010, 50.0, 50.0]
[46587, 50.0, 50.0]
[48164, 50.0, 50.0]
[49741, 50.0, 50.0]
[51318, 50.0, 50.0]
[52895, 50.0, 50.0]
[54472, 50.0, 50.0]
[56049, 50.0, 50.0]
[57626, 50.0, 50.0]
[59203, 50.0, 50.0]
[60780, 50.0, 50.0]
[62357, 50.0, 50.0]
[63934, 50.0, 50.0]
[65511, 50.0, 50.0]
[67088, 50.0, 50.0]
[68665, 50.0, 50.0]
[70242, 50.0, 50.0]
[71819, 50.0, 50.0]
[73396, 50.0, 50.0]
[74973, 50.0, 50.0]
[76550, 50.0, 50.0]
[78127, 50.0, 50.0]
[79704, 50.0, 50.0]
[81281, 50.0, 50.0]
[82858, 50.0, 50.0]
[84435, 50.0, 50.0]
[86012, 50.0, 50.0]
[43160, 50.0, 25.0]
[43160, 25.0, 25.0]
[43160, 25.0, 25.0]
[43160, 25.0, 25.0]
[43160, 25.0, 25.0]
[43160, 25.0, 25.0]
[43160, 25.0, 25.0]
[43160, 25.0, 25.0]
[43160, 25.0, 25.0]
[43160, 25.0, 25.0]
[43160, 25.0, 25.0]
[43160, 25.0, 25.0]
[43160, 25.0, 25.0]
[43160, 25.0, 25.0]
[43160, 25.0, 25.0]
[43160, 25.0, 25.0]
[43160, 25.0, 25.0]
[43160, 25.0, 25.0]
[43160, 25.0, 25.0]
[43160, 25.0, 25.0]
[43160, 25.0, 25.0]
[43160, 25.0, 25.0]
[43160, 25.0, 25.0]
[43160, 25.0, 25.0]
[43160, 25.0, 25.0]
[43160, 25.0, 25.0]
[22825, 25.0, 25.615]
[22825, 25.615, 25.615]
[22825, 25.615, 25.615]
[22825, 25.615, 25.615]
[22825, 25.615, 25.615]
[22825, 25.615, 25.615]
[22825, 25.615, 25.615]
[22825, 25.615, 25.615]
[22825, 25.615, 25.615]
[22825, 25.615, 25.615]
[22825, 25.615, 25.615]
[22825, 25.615, 25.615]
[22825, 25.615, 25.615]
[22825, 25.615, 26.23]
[22996, 26.23, 26.23]
[23240, 26.23, 26.23]
[23240, 26.23, 26.23]
[23240, 26.23, 26.23]
[23240, 26.23, 26.23]
[23240, 26.23, 26.23]
[23240, 26.23, 26.23]
[23240, 26.23, 26.23]
[23240, 26.23, 26.23]
[23240, 26.23, 26.23]
[23240, 26.23, 26.23]
[23240, 26.23, 26.23]
[23240, 26.23, 26.23]
[23240, 26.23, 26.845]
[23240, 26.845, 26.845]
[23240, 26.845, 26.845]
[23240, 26.845, 26.845]
[23240, 26.845, 26.845]
[23240, 26.845, 26.845]
[23240, 26.845, 26.845]
[23240, 26.845, 26.845]
[23240, 26.845, 26.845]
[23240, 26.845, 26.845]
[23240, 26.845, 26.845]
[23240, 26.845, 26.845]
[23240, 26.845, 26.845]
[23240, 26.845, 26.845]
[23240, 26.845, 27.46]
[23240, 27.46, 27.46]
[23240, 27.46, 27.46]
[23240, 27.46, 27.46]
[23240, 27.46, 27.46]
[23240, 27.46, 27.46]
[23240, 27.46, 27.46]
[23240, 27.46, 27.46]
[23240, 27.46, 27.46]
[23240, 27.46, 27.46]
[23240, 27.46, 27.46]
[23240, 27.46, 27.46]
[23240, 27.46, 27.46]
[23240, 27.46, 27.46]
[23240, 27.46, 28.075]
[23350, 28.075, 28.075]
[23626, 28.075, 28.075]
[23655, 28.075, 28.075]
[23655, 28.075, 28.075]
[23655, 28.075, 28.075]
[23655, 28.075, 28.075]
[23655, 28.075, 28.075]
[23655, 28.075, 28.075]
[23655, 28.075, 28.075]
[23655, 28.075, 28.075]
[23655, 28.075, 28.075]
[23655, 28.075, 28.075]
[23655, 28.075, 28.075]
[23738, 28.075, 28.075]
[24900, 28.075, 28.69]
[24900, 28.69, 28.69]
[24900, 28.69, 28.69]
